DatasetName,FieldName,Term,Definition
ContactsAndFaults,Type,"fault, low angle, normal",Low-angle fault with normal separation or slip.
ContactsAndFaults,Type,map boundary,Delineation of map area
ContactsAndFaults,Type,"lineation, mineral",Lineation defined by alignment of elongate crystals that have a prismatic crystal habit or of monomineralic grain aggregates.
ContactsAndFaults,Type,mylonite seam,High-strain seam in which the deformed rock within the seam is mylonitic rock.
ContactsAndFaults,Type,"orientation, discrete surface",Measurement of orientation of a single surface (discrete structure) at a point location.
ContactsAndFaults,Type,paleocurrent,Observation result that is vector indicating direction of sediment transport recorded in a sedimentary deposit. Should have accompanying information indicating the reference frame for the orientation.
ContactsAndFaults,Type,scratch boundary surface,"Boundary with unknown location, that must exist, so location is guessed."
ContactsAndFaults,Type,slickenline,Refers to the liner scratches which occur on a surface when two rock bodies rub past one another.
ContactsAndFaults,Type,"lineation, stretching","Lineation defined by elongate (prolate) fabric elements in which the alignment of the fabric elements, and the formation of prolate fabric elements, is interpreted to be the product of crystal plastic deformation processes."
ContactsAndFaults,Type,surface trace trend,"The azimuth of the surface trace of a geologic surface, essentially a line with apparent dip of 0."
ContactsAndFaults,Type,"foliation, protomylonitic, well-developed","Protomylonite foliation defined by aligned  tectonically flattened mineral grains, and planar or tabular grains rotated to parallel foliation, as well as cleavage along slip or shear surfaces. "
ContactsAndFaults,Type,"fault, thrust",Low-angle fault with a hanging wall displaced from a structurally deeper position relative to footwall rocks.
ContactsAndFaults,Type,"layering, transposed bedding",Layering interpreted to have originated as sedimentary bedding that has been transposed as a result of metamorphism and deformation.
ContactsAndFaults,Type,vein,Degenerate volume that is a sheet-like body of hydrothermally deposited mineral material.
ContactsAndFaults,Type,vein mineral fill,Vein formed by a solid mineral fill (like a dike).
ContactsAndFaults,Type,fault zone,An area where there are several closely spaced faults.
ContactsAndFaults,Type,"lineation, intersection Sn-Sn+1",Lineation defined by the intersection of two tectonic foliations.
ContactsAndFaults,Type,error,A mistake.
ContactsAndFaults,Type,trend of oriented inclusion,Symbol depicting the azimuthal orienation of an elongate inclusion.
ContactsAndFaults,Type,laminated tectonic layering,"Tectonic layering in which the layers are less than 1 cm thick. See Weiss, L.E. [1972] plate 36 or Borraidaile et al [1982] plate 137A,B (page 331), plate140A (page 337)  for examples."
ContactsAndFaults,Type,"contact, intrusive, orientation",The orientation of an intrusive contact.
ContactsAndFaults,Type,foliation,Fabric defined by the planar arrangement of textural or structural features (fabric elements).
ContactsAndFaults,Type,fold,"Structure consisting of one or more curved layers, surfaces, or lines in a rock body, unified by continuous axial surface, and bounded by inflection points on limbs. "
ContactsAndFaults,Type,schistosity,"A  fabric defined the parallel, planar arrangement of mineral grains having a platy, lamellar, or tabular crystallographic habit that are oriented in a continuous planar or linear fabric. Note that the structure term schistosity refers to a planar fabric in this vocabulary, while the rock name schist may refer to a rock with well developed schistosity."
ContactsAndFaults,Type,tectonic layering,Penetrative linear structure in a rock body defined by fabric elements that are the product of tectonic processes.
ContactsAndFaults,Type,tectonic foliation,Foliation  in a rock body defined by physical components related to deformation subsequent to solidification of the rock.
ContactsAndFaults,Type,"shear zone, unclassified","A sheet-like zone of distributed deformation, lacking an obvious discrete slip surface, across which bodies of rock have been displaced relative to each other. Boundaries are typically gradational at or near the scale of observation."
ContactsAndFaults,Type,"foliation, gneissic, inclined",Layering in a geologic rock where the layers are of alternating mineral composition.
ContactsAndFaults,Type,"fault, normal","A geologic fault in which the hanging wall has moved downward relative to the footwall. Normal faults occur where two blocks of rock are pulled apart, as by tension."
ContactsAndFaults,Type,vein or dike lithosome,A mass of rock of approximately uniform character penetrated by tongues of rock from adjacent masses with a different lithology.
ContactsAndFaults,Type,hinge line,A straight or curved line which joins the points of maximum curvature along the hinge of a fold.
ContactsAndFaults,Type,"foliation, protomylonitic",Mylonitic foliation in which 10 to 50 percent of rock is matrix due to tectonic grain size reduction processes. Planar aspect of fabric may be quite subtle in  weakly deformed rocks.
ContactsAndFaults,Type,Earth surface geologic surface 3D intersection,The trace of a geological plane's intersection with the earth's surface
ContactsAndFaults,Type,"foliation, compositional layering",Layering in a geologic rock where the layers are of varying mineral composition.
ContactsAndFaults,Type,parallel S0 and S1,Strike and dip of composite fabric produced by parallel bedding and foliation.
ContactsAndFaults,Type,"fault, high-angle, normal",A high-angle fault with normal separation.
ContactsAndFaults,Type,Z-fold axis,Trend and plunge of axis of the z-shaped minor fold.
ContactsAndFaults,Type,contact,Very general concept representing any kind of surface separating two geologic units.
ContactsAndFaults,Type,"bedding, crude or indistinct",Layering produced by stratification.
ContactsAndFaults,Type,axial surface synform,Axial surface for fold in which the concave side of the folded surfaces is on the top. Facing of folded surface not specified.
ContactsAndFaults,Type,cleavage,A planar tectonic foliation in a rock characterized by a tendency for the rock to split along a regular set of parallel or sub-parallel closely spaced surfaces.
ContactsAndFaults,Type,"cleavage, close disjunct","Spaced cleavage in sandstone or phyllosilicate-poor rock, defined by partings of uncertain origin, and does not crenulate an existing cleavage. (sometimes called fracture cleavage)."
ContactsAndFaults,Type,"bedding, horizontal",Horizontal layering produced by stratification.
ContactsAndFaults,Type,cumulate layering,Layering in igneous rocks in which layers are characterized by variation in relative proportion of magmatically crystallized minerals. Typically a pattern of mineralogical variation will be repeated many times in a vertical section with layers of relatively consistent thickness.
ContactsAndFaults,Type,"foliation, eutaxitic",Foliation defined by flattened pumice clasts or glass shards and aligned elongate lithic fragments in a welded tuff. This term denotes interpretation that foliation formed during compaction and welding of tuff.
ContactsAndFaults,Type,"foliation, mylonitic","A fault rock which is cohesive and characterised by a well-developed schistosity resulting from tectonic reduction of grain size, and commonly containing rounded porphyroclasts and lithic fragments of similar composition to minerals in the matrix."
ContactsAndFaults,Type,"vein, quartz",Degenerate volume that is a sheet-like body of hydrothermally deposited quartz.
ContactsAndFaults,Type,not assigned,Not assigned.
ContactsAndFaults,Type,trend orientation,A symbol depicting the azimuthal orientation of some elongate geological entity.
ContactsAndFaults,Type,dike orientation,A symbol depicting the azimuthal orientation of a dike.
ContactsAndFaults,Type,"orientation, depositional contact",A symbol depicting the azimuthal orientation of a depositional contact.
ContactsAndFaults,Type,"foliation, gneissic, vertical",Layering in a geologic rock where the layers are of alternating mineral composition.
ContactsAndFaults,Type,fault or vein orientation,The orientation of a fault or a vein.
ContactsAndFaults,Type,"foliation, axial plane",The axial plane of a foliation.
ContactsAndFaults,Type,"lineation, crenulation",A lineation defined by the hinges of small folds (crenulations) associated with crenulation cleavage.
ContactsAndFaults,Type,fracture,"A fracture is any separation in a geologic formation, such as a joint or a fault that divides the rock into two or more pieces."
ContactsAndFaults,Type,lineation,"A lineation is any linear feature or element in a rock , and can occur as the product of tectonic, mineralogical, sedimentary, or geomorphic processes."
ContactsAndFaults,Type,schistosity (S2),Strike and dip of second generation schistosity.
ContactsAndFaults,Type,F2 Axes,Trend and plunge of axis of second phase fold.
ContactsAndFaults,Type,"lineation, intersection",Lineation produced by the intersection of surfaces of two different generations.
ContactsAndFaults,Type,"lineation, intersection (L2)",Lineation produced by the intersection of first- and second-generation foliations.
